c Random Leveled Graph
c 10 Rows, 10 columns, capacities in range [0, 300]
p max 102 290
n 1 s
n 102 t
a 1 11 900
a 1 10 900
a 1 9 900
a 1 8 900
a 1 7 900
a 1 6 900
a 1 5 900
a 1 4 900
a 1 3 900
a 1 2 900
a 2 13 4
a 2 16 189
a 2 12 1
a 3 16 204
a 3 15 11
a 3 21 284
a 4 17 57
a 4 15 288
a 4 13 33
a 5 20 152
a 5 19 137
a 5 17 44
a 6 18 121
a 6 12 6
a 6 19 59
a 7 20 54
a 7 17 36
a 7 19 226
a 8 19 213
a 8 13 32
a 8 18 300
a 9 19 104
a 9 16 244
a 9 15 108
a 10 14 76
a 10 15 80
a 10 17 189
a 11 16 244
a 11 14 155
a 11 18 38
a 12 25 47
a 12 23 38
a 12 26 292
a 13 25 268
a 13 30 142
a 13 29 8
a 14 26 170
a 14 30 94
a 14 24 190
a 15 25 170
a 15 28 169
a 15 26 224
a 16 29 281
a 16 22 6
a 16 23 290
a 17 27 72
a 17 29 97
a 17 25 295
a 18 22 143
a 18 28 94
a 18 23 48
a 19 24 67
a 19 31 29
a 19 29 292
a 20 23 45
a 20 24 292
a 20 31 300
a 21 23 114
a 21 26 252
a 21 31 241
a 22 39 292
a 22 40 262
a 22 35 107
a 23 33 247
a 23 39 233
a 23 34 61
a 24 40 97
a 24 33 121
a 24 41 1
a 25 33 84
a 25 40 183
a 25 34 286
a 26 35 268
a 26 38 130
a 26 41 131
a 27 38 300
a 27 32 34
a 27 33 248
a 28 35 50
a 28 33 106
a 28 32 73
a 29 39 176
a 29 41 70
a 29 33 135
a 30 37 1
a 30 35 49
a 30 38 98
a 31 38 198
a 31 39 110
a 31 32 257
a 32 51 4
a 32 42 251
a 32 47 232
a 33 48 282
a 33 42 35
a 33 45 87
a 34 42 52
a 34 49 2
a 34 47 215
a 35 46 215
a 35 51 170
a 35 43 208
a 36 45 4
a 36 43 58
a 36 49 276
a 37 47 256
a 37 44 17
a 37 46 195
a 38 47 252
a 38 51 138
a 38 49 126
a 39 51 173
a 39 46 239
a 39 50 142
a 40 50 298
a 40 51 274
a 40 44 62
a 41 44 198
a 41 51 223
a 41 46 273
a 42 55 93
a 42 59 184
a 42 58 73
a 43 59 76
a 43 52 53
a 43 55 13
a 44 56 107
a 44 55 162
a 44 58 96
a 45 58 195
a 45 54 298
a 45 59 101
a 46 60 116
a 46 58 191
a 46 59 40
a 47 54 96
a 47 60 103
a 47 59 54
a 48 52 197
a 48 61 148
a 48 57 10
a 49 53 30
a 49 57 29
a 49 54 29
a 50 57 172
a 50 52 299
a 50 59 221
a 51 52 258
a 51 58 158
a 51 59 79
a 52 70 71
a 52 69 81
a 52 67 198
a 53 69 280
a 53 62 102
a 53 67 290
a 54 65 134
a 54 71 128
a 54 66 106
a 55 66 97
a 55 71 151
a 55 65 87
a 56 66 23
a 56 69 35
a 56 68 142
a 57 64 235
a 57 68 204
a 57 63 189
a 58 68 24
a 58 62 81
a 58 65 231
a 59 70 264
a 59 65 99
a 59 71 169
a 60 70 67
a 60 66 185
a 60 71 158
a 61 69 59
a 61 62 143
a 61 65 30
a 62 78 92
a 62 79 274
a 62 77 99
a 63 74 294
a 63 73 295
a 63 81 73
a 64 78 227
a 64 76 179
a 64 73 261
a 65 75 166
a 65 76 58
a 65 80 244
a 66 80 267
a 66 78 48
a 66 72 34
a 67 81 200
a 67 72 270
a 67 74 234
a 68 75 109
a 68 72 45
a 68 76 37
a 69 74 161
a 69 79 96
a 69 81 120
a 70 75 15
a 70 72 7
a 70 76 44
a 71 76 54
a 71 78 166
a 71 72 164
a 72 82 297
a 72 86 166
a 72 89 260
a 73 88 48
a 73 87 115
a 73 91 90
a 74 90 173
a 74 84 143
a 74 88 153
a 75 90 25
a 75 82 19
a 75 88 79
a 76 91 45
a 76 85 174
a 76 83 42
a 77 83 191
a 77 84 194
a 77 85 71
a 78 84 239
a 78 91 47
a 78 87 270
a 79 84 188
a 79 87 118
a 79 90 247
a 80 89 159
a 80 85 92
a 80 82 161
a 81 88 163
a 81 85 267
a 81 87 127
a 82 96 67
a 82 100 293
a 82 101 22
a 83 100 38
a 83 95 91
a 83 98 199
a 84 93 269
a 84 99 225
a 84 98 75
a 85 93 167
a 85 100 43
a 85 97 19
a 86 96 245
a 86 101 24
a 86 93 79
a 87 92 265
a 87 99 247
a 87 98 215
a 88 98 214
a 88 96 273
a 88 94 102
a 89 99 128
a 89 100 44
a 89 97 204
a 90 101 128
a 90 93 244
a 90 95 82
a 91 94 169
a 91 96 129
a 91 95 24
a 92 102 900
a 93 102 900
a 94 102 900
a 95 102 900
a 96 102 900
a 97 102 900
a 98 102 900
a 99 102 900
a 100 102 900
a 101 102 900
